sample	tissue	nucl	subject	pool_id	part	side	rpm	rpm_ratio
FC57_LU_R_RNA	Lung	RNA	0122	1		R	1708.8742857142859	1.3253742857142856
FC57_LU_R_RNA	Lung	RNA	0122	2		R	1534.6714285714286	1.0495085714285712
FC57_LU_R_RNA	Lung	RNA	0122	3		R	1203.7228571428573	0.9359485714285715
FC57_LU_R_RNA	Lung	RNA	0122	4		R	1131.1714285714288	1.24028
FC57_LU_R_RNA	Lung	RNA	0122	5		R	636.9685714285715	0.68616
FC57_LU_R_RNA	Lung	RNA	0122	6		R	1660.1485714285714	1.3492028571428571
FC57_LU_R_RNA	Lung	RNA	0122	7		R	716.9971428571428	0.6736571428571431
FC57_LU_R_RNA	Lung	RNA	0122	8		R	1341.1942857142858	1.0643742857142857
FC57_LU_R_RNA	Lung	RNA	0122	9		R	1596.0657142857144	1.179485714285714
FC57_LU_R_RNA	Lung	RNA	0122	10		R	931.9057142857142	0.6160399999999999
FC57_LU_R_RNA	Lung	RNA	0122	11		R	1485.9971428571432	1.0024571428571427
FC57_LU_R_RNA	Lung	RNA	0122	12		R	1628.3542857142857	1.251617142857143
FC57_LU_R_RNA	Lung	RNA	0122	13		R	1188.6142857142859	0.7745257142857144
FC57_LU_R_RNA	Lung	RNA	0122	14		R	1273.5142857142857	1.363342857142857
FC57_LU_R_RNA	Lung	RNA	0122	15		R	548.4885714285715	0.7535400000000001
FC57_LU_R_RNA	Lung	RNA	0122	16		R	1632.9685714285715	1.2654200000000002
FC57_LU_R_RNA	Lung	RNA	0122	18		R	481.06571428571436	0.35362342857142853
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	1	AB		1561.8971428571426	1.143985714285714
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	2	AB		1092.1914285714286	0.9602771428571427
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	3	AB		703.9714285714285	0.42103999999999997
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	4	AB		795.9771428571429	0.9220142857142857
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	5	AB		0.0	0.0
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	6	AB		2122.7514285714287	1.6288428571428573
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	7	AB		218.65714285714284	0.15114285714285713
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	8	AB		1121.2997142857141	1.0328525714285715
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	9	AB		785.1171428571428	0.6191085714285715
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	10	AB		1248.0257142857142	0.9323554285714284
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	11	AB		1536.9825714285714	1.472357142857143
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	12	AB		2628.6085714285714	2.269183142857143
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	13	AB		220.72571428571428	0.17119428571428572
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	14	AB		300.71142857142854	0.2962914285714286
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	15	AB		226.3685714285714	0.2912857142857143
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	16	AB		1349.057142857143	1.1562285714285716
FC57_L_Muscle_hFXN_AB_DNA	Abdominal	DNA	L	18	AB		2555.9885714285715	1.7467228571428575
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	1	AB		170.16228571428576	0.1295697142857143
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	2	AB		1605.9971428571428	1.0682999999999998
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	3	AB		1167.96	0.8921942857142857
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	4	AB		605.0480000000001	0.6133285714285716
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	5	AB		105.8674285714286	0.113076
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	6	AB		1783.5000000000002	1.467582857142857
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	7	AB		1054.3742857142856	0.9700114285714284
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	8	AB		2130.131428571429	1.731131428571428
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	9	AB		1340.8857142857146	0.9881885714285712
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	10	AB		1984.8799999999997	1.3940685714285712
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	11	AB		1310.7457142857145	0.8794685714285712
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	12	AB		1792.9828571428573	1.6633971428571426
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	13	AB		1262.1771428571428	0.8590885714285713
